CDRCode,statute,CDRDescription,classification,class,CDRStatus,RangeOfPunishment,max_time_days,min_time_days,conjunct,max_fine,min_fine,mandatory_incarceration,mandatory_fine,drug_type,drug_crime_category,other_punish,statutory_requires_gps,statutory_most_serious,statutory_nonviolent,statutory_serious,statutory_violent,statutory_unlisted
184,44-53-0370(b)(1),"DRUGS / MDP, NARCOTIC DRUGS IN SCH. I(B) & (C), LSD, AND SCHED. II - 2ND OFFENSE",F,A,Active,"NMT 30 YEARS &/OR NMT $50,000",10950,0,AND/OR,50000,0,FALSE,FALSE,"SCHED I(B&C), II, OR LSD",DRUGS-MDP,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
185,44-53-0370(b)(1),"DRUGS / MDP, NARCOTIC DRUGS IN SCH. I(B) & (C), LSD, AND SCHED. II - 3RD OR SUB. OFFENSE",F,A,Active,"10 YEARS - 30 YEARS &/OR NMT $50,000",10950,0,AND/OR,50000,0,FALSE,FALSE,"SCHED I(B&C), II, OR LSD",DRUGS-MDP,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
186,44-53-0370(b)(2),"DRUGS / MANUF., POSS. OF OTHER SUB. IN SCH. I, II, III OR FLUNITRAZEPAM OR ANALOGUE, W.I.T.D. - 1ST OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,SCHED I-III/FLUNITRAZEPAM,DRUGS-MDP,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
187,44-53-0370(b)(2),"DRUGS / MANUF., POSS. OF OTHER SUB. IN SCH. I, II, III OR FLUNITRAZEPAM OR ANALOGUE, W.I.T.D. - 2ND OFFENSE",F,E,Active,"NMT 10 YEARS &/OR NMT $10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,SCHED I-III/FLUNITRAZEPAM,DRUGS-MDP,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
188,44-53-0370(b)(2),"DRUGS / MANUF., POSS. OF OTHER SUB. IN SCH. I, II, III OR FLUNITRAZEPAM, W.I.T.D. - 3RD OR SUB. OFFENSE",F,C,Active,"5 YEARS - 20 YEARS &/OR NMT $20,000",7300,0,AND/OR,20000,0,FALSE,FALSE,SCHED I-III/FLUNITRAZEPAM,DRUGS-MDP,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
189,44-53-0370(a),"DRUGS / MANUF., POSS. OF SCH. IV DRUGS, EXCEPT FLUNITRAZEPAM, WITH INTENT TO DISTRIBUTE  - 1ST OFFENSE",M,A,Active,"NMT 3 YEARS &/OR NMT $3,000",1095,0,AND/OR,3000,0,FALSE,FALSE,SCHED IV (w/o FLUNITRAZEPAM),DRUGS-MDP,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
190,44-53-0370(b)(3),"DRUGS / MANUF., POSSESSION OF SCHEDULE IV, EXCEPT FLUNITRAZEPAM DRUGS WITH INTENT TO DISTRIBUTE - 2ND OR SUB. OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $6,000",1825,0,AND/OR,6000,0,FALSE,FALSE,SCHED IV (w/o FLUNITRAZEPAM),DRUGS-MDP,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
191,44-53-0370(b)(4),"DRUGS / MANUFACTURE, POSSESSION OF SCHEDULE V DRUGS WITH INTENT TO DISTRIBUTE - 1ST OFFENSE",M,C,Active,NMT 1 YEAR &/OR NMT $1000,365,0,AND/OR,1000,0,FALSE,FALSE,SCHED V,DRUGS-MDP,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
192,44-53-0370(b)(4),"DRUGS / MANUF., POSSESSION OF SCHEDULE V DRUGS WITH INTENT TO DISTRIBUTE - 2ND OR SUB. OFFENSE",M,B,Active,"NMT 2 YEARS &/OR NMT $2,000",730,0,AND/OR,2000,0,FALSE,FALSE,SCHED V,DRUGS-MDP,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
217,16-03-0050,MANSLAUGHTER / VOLUNTARY MANSLAUGHTER,F,A,Active,NMT 30 YEARS,10950,0,NONE,0,0,FALSE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
218,16-03-0060,MANSLAUGHTER / INVOLUNTARY MANSLAUGHTER,F,F,Active,NMT 5 YEARS,1825,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
222,16-21-0060(B),"VEHICLE / USE OF VEHICLE WITHOUT PERMISSION FOR TEMP. PURPOSE ONLY, UNCONNECTED TO OTHER CRIME",M,C,Active,NMT 1 YEAR &/OR $500,365,0,AND/OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
223,17-15-0090(1),BAIL / FAILURE TO APPEAR AFTER RELEASE FOR FELONY (NOT USED FROM 6/98 TO 6/08),F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
224,17-15-0090(2),BAIL / FAILURE TO APPEAR AFTER RELEASE FOR A MISDEMEANOR (NOT USED FROM 6/98 TO 6/08),M,C,Active,NMT 1 YEAR &/OR NMT $1000,365,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
230,61-06-4080,"ALCOHOL / SALE OF LIQUOR TO A PERSON UNDER 21, 1ST OFFENSE",M,U,Active,NMT 30 DAYS &/OR $200 - $300,30,0,AND/OR,300,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
231,61-06-2600(1),ALCOHOL / VIOLATION OF MINI-BOTTLE LAW - 1ST OFFENSE,M,U,Active,FINE $200 - $500 &/OR LICENSE SUSPENSION FOR 30 DAYS,0,0,AND/OR,500,0,FALSE,FALSE,,,LICENSE SUSPENSION,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
232,61-06-2600(2),ALCOHOL / VIOLATION OF MINI-BOTTLE LAW WITHIN 3YRS OF 1ST OFFENSE- 2ND. OFFENSE,M,U,Active,FINE $200 - $500 &/OR LICENSE SUSPENSION FOR 180 DAYS,0,0,AND/OR,500,0,FALSE,FALSE,,,LICENSE SUSPENSION,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
233,61-06-2600(3),ALCOHOL / VIOLATION OF MINI-BOTTLE LAW WITHIN 3YRS OF 1ST OFFENSE- 3RD OR SUB. OFFENSE,M,U,Active,FINE NLT $500 & PERMANENT REVOCATION OF LICENSE,0,0,AND,1500,500,FALSE,TRUE,,,PERMANENT REVOCATION OF LICENSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
235,16-09-0230,BRIBES / ACCEPTANCE OF REBATES OR EXTRA COMPENSATION,F,F,Active,NMT 5 YEARS OR $100 -$500,1825,0,OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
236,16-09-0370(a),BRIBES / ACCEPTANCE OF MONEY TO CONCEAL AN OFFENSE INVOLVING A FELONY,M,C,Active,NMT 1 YEAR &/OR NMT $500,365,0,AND/OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
237,16-09-0370(b),BRIBES / ACCEPTANCE OF MONEY TO CONCEAL AN OFFENSE INVOLVING A MISDEMEANOR,M,U,Active,NMT 3 MONTHS &/OR NMT $100,90,0,AND/OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
238,61-06-4140(b),ALCOHOL / EMPLOYMENT OF PERSON UNDER 21 IN LIQUOR BUSINESS - 2ND OFFENSE,M,U,Active,60 DAYS OR $200,60,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
239,61-06-4140(c),ALCOHOL / EMPLOYMENT OF PERSON UNDER 21 IN LIQUOR BUSINESS - 3RD OR SUB. OFFENSE,M,U,Active,90 DAYS OR $300,90,0,OR,300,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
240,61-04-0050(A),"ALCOHOL / SALE OF BEER OR WINE TO A MINOR, UNDER 21, 1ST OFFENSE",M,U,Active,NMT 30 DAYS &/OR $200 - $300,30,0,AND/OR,300,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
241,61-06-4050(b),ALCOHOL / UNLAWFUL PURCHASE OR PROCUREMENT OF ALCOHOLIC LIQUOR - 2ND OFFENSE,M,U,Active,60 DAYS OR $200,60,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
242,61-06-4050(c),ALCOHOL / UNLAWFUL PURCHASE OR PROCUREMENT OF ALCOHOLIC LIQUOR - 3RD OR SUB. OFFENSE,M,U,Active,90 DAYS OR $300,90,0,OR,300,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
243,61-06-4010(B)(1),"ALCOHOL / UNLAWFUL SALE, MANUFACTURE ETC. OF ALCOHOLIC  LIQUORS - 1ST OFFENSE (FORMERLY 61-06-4010(2)(A))",M,U,Active,NMT 6 MONTHS OR NLT $600,180,0,OR,1800,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
244,61-06-4010(B)(2),"ALCOHOL / UNLAWFUL SALE, MANUFACTURE ETC. OF ALCOHOLIC  LIQUORS - 2ND OFFENSE (FORMERLY 61-06-4010(2)(B))",M,C,Active,"NMT 1 YEAR OR $1,500",365,0,OR,1500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
245,61-06-4010(B)(3),"ALCOHOL / UNLAWFUL SALE, MANUFACTURE ETC. OF ALCOHOLIC  LIQUORS - 3RD OR SUB. OFFENSE ( FORMERLY 61-06-4010(2)(C ))",M,B,Active,"NMT 2 YEARS OR $3,000",730,0,OR,3000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
246,61-06-4060(a),ALCOHOL / UNLAWFUL STORAGE OR POSSESSION OF ALCOHOLIC LIQUORS IN PLACE OF BUSINESS - 1ST OFFENSE,M,U,Active,60 DAYS OR $200,60,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
247,61-06-4060(b),ALCOHOL / UNLAWFUL STORAGE OR POSSESSION OF ALCOHOLIC LIQUORS IN PLACE OF BUSINESS - 2ND OFFENSE,M,C,Active,"NMT 1 YEAR OR $1,000",365,0,OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
248,61-06-4060(c),ALCOHOL / UNLAWFUL STORAGE OR POSSESSION OF ALCOHOLIC LIQUORS IN PLACE OF BUSINESS - 3RD OR SUB. OFFENSE,M,B,Active,"NMT 2 YEARS OR $2,000",730,0,OR,2000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
249,61-06-4025(a),ALCOHOL / UNLAWFUL STORAGE OR TRANSPORTATION OF ALCOHOLIC LIQUORS - 1ST OFFENSE,M,U,Active,NMT 6 MONTHS OR NLT $600,180,0,OR,1800,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
250,61-06-4025(b),ALCOHOL / UNLAWFUL STORAGE OR TRANSPORTATION OF ALCOHOLIC LIQUORS - 2ND OFFENSE,M,C,Active,"NMT 1 YEAR OR $1,500",365,0,OR,1500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
251,61-06-4025(c),ALCOHOL / UNLAWFUL STORAGE OR TRANSPORTATION OF ALCOHOLIC LIQUORS - 3RD OR SUB. OFFENSE,M,B,Active,"NMT 2 YEARS OR $3,000",730,0,OR,3000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
252,16-17-0560,CIVIL / ASSAULT OR INTIMIDATION DUE TO POLITICAL OPINIONS OR EXERCISE OF CIVIL RIGHTS,M,B,Active,NMT 2 YEARS &/OR NMT $1000,730,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
253,16-03-0656,SEX / ASSAULT WITH INTENT TO COMMIT CRIMINAL SEXUAL CONDUCT - FIRST DEGREE,F,A,Active,NMT 30 YEARS,10950,0,NONE,0,0,FALSE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
254,16-03-0656,SEX / ASSAULT WITH INTENT TO COMMIT CRIMINAL SEXUAL CONDUCT - SECOND DEGREE,F,C,Active,NMT 20 YEARS,7300,0,NONE,0,0,FALSE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
255,16-03-0656,SEX / ASSAULT WITH INTENT TO COMMIT CRIMINAL SEXUAL CONDUCT - THIRD DEGREE,F,E,Active,NMT 10 YEARS,3650,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
256,16-09-0320(B),"RESISTING / ASSAULT, BEAT, OR WOUND POLICE OFFICER SERVING PROCESS OR WHILE RESISTING ARREST",F,E,Active,"NMT 10 YEARS &/OR $1,000-10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
257,16-11-0380(A),"ROBBERY / ENTERING BANK, DEPOSITORY OR BLDG AND LOAN ASSOCIATION WITH INTENT TO STEAL",F,A,Active,NMT 30 YEARS,10950,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
258,16-13-0160(A)(1),"LARCENY / BREAKING INTO MOTOR VEHICLE OR TANKS, PUMPS, WHERE FUEL, LUBRICANTS STORED",F,F,Active,"NMT 5 YEARS &/OR $1,000",1825,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
259,16-09-0270,"BRIBES / ACCEPTANCE OF BRIBES BY JURORS, ARBITRATORS, UMPIRES OR REFEREES",F,F,Active,"(1) <= 5 YEARS OR (2) <= 1 YEAR AND <= $1,000",1825,0,OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
260,57-01-0040(A),BRIBES / STATE HIGHWAY COMMISSIONERS AND EMPLOYEES ACCEPTING BRIBE,F,U,Active,NMT 5 YEARS,1825,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
261,16-09-0220,BRIBES / ACCEPTANCE OF BRIBE BY OFFICERS,F,E,Active,"(1) <= 10 YEARS OR (2) <= 2 YEARS AND <= $5,000",3650,0,OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
262,16-09-0210,BRIBES / GIVING OR OFFERING BRIBES TO OFFICERS,F,F,Active,"(1) <= 5 YEARS OR (2) <= 1 YEAR AND <= $3,000",1825,0,OR,3000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
263,16-11-0140,ARSON / BURNING OF CROPS AND OTHER KINDS OF PERSONAL PROPERTY,M,A,Active,NMT 3 YEARS,1095,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
264,16-07-0120,ARSON / PLACING BURNING OR FLAMING CROSS IN PUBLIC PLACE,M,C,Active,NMT 1 YEAR OR NMT $500,365,0,OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
265,16-11-0150(a),ARSON / BURNING LANDS OF ANOTHER WITHOUT CONSENT - 1ST OFFENSE,M,C,Active,NMT 1 YEAR &/OR NMT $1000,365,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
266,16-11-0150(b),ARSON / BURNING LANDS OF ANOTHER WITHOUT CONSENT - 2ND OR SUB. OFFENSE,F,F,Active,"NMT 5 YEARS OR NMT $5,000",1825,0,OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
267,16-11-0130,ARSON / BURNING PERSONAL PROPERTY TO DEFRAUD INSURER,F,F,Active,NMT 5 YEARS,1825,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
268,01-23-0360,"COMMUNICATION / EX PARTE, BY MEMBERS OR EMPLOYEES OF AGENCY ASSIGNED TO CONTESTED CASE",M,U,Active,NMT 6 MONTHS OR NMT $250,180,0,OR,250,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
269,16-05-0010,CIVIL / CONSPIRACY AGAINST CIVIL RIGHTS,F,F,Active,"NMT 5 YEARS &/OR NMT $2,000",1825,0,AND/OR,2000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
271,16-09-0260,"COURTS / JURY TAMPERING, CORRUPTING JURORS, ARBITRATORS, UMPIRES, OR REFEREES",F,F,Active,"(1) <= 5 YEARS OR (2) <= 1 YEAR AND <= $1,000",1825,0,OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
272,44-53-1220,"DRUGS / DANGEROUS, CAUSTIC AND CORROSIVE SUBSTANCES ARTICLE VIOLATION",M,U,Active,NMT 90 DAYS &/OR NMT $100,90,0,AND/OR,100,0,FALSE,FALSE,OTHER,DRUG-OTHER,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
273,45-01-0050(A),"FRAUD / DEFRAUDING HOTEL, INN, BOARDING HOUSE OR RESTAURANT",M,U,Active,"NMT 6 MONTHS &/OR NMT $1,000",180,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
274,16-07-0170,RECORDS / ENTERING PUBLIC BUILDINGS TO DESTROY RECORDS OR OTHER PROPERTY,M,A,Active,NMT 3 YEARS OR NMT $5000,1095,0,OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
278,44-53-0370(e)(2)(a)1,"DRUGS / TRAFFICKING IN COCAINE, 10G OR MORE, BUT LESS THAN 28G, 1ST OFFENSE",F,E,Active,"3 YEARS - 10 YEARS & $25,000",3650,1095,AND,25000,25000,TRUE,TRUE,COCAINE,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
280,44-53-0370(e)(2)(c),"DRUGS / TRAFFICKING IN COCAINE, 100 G OR MORE, BUT LESS THAN 200 G",F,X,Active,"25 YEARS & $50,000",9125,9125,AND,50000,50000,TRUE,TRUE,COCAINE,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
281,44-53-0370(e)(2)(e),"DRUGS / TRAFFICKING IN COCAINE, 400 G OR MORE",F,X,Active,"25-30 YEARS & $200,000",10950,9125,AND,200000,200000,TRUE,TRUE,COCAINE,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
283,44-53-0370(e)(1)(b),"DRUGS / TRAFFICKING IN MARIJUANA, 100 LBS OR MORE, BUT LESS THAN 2,000 LBS",F,X,Active,"25 YEARS & $25,000",9125,9125,AND,25000,25000,TRUE,TRUE,MJ,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
284,44-53-0370(e)(1)(c),"DRUGS / TRAFFICKING IN MARIJUANA, 2,000 LBS OR MORE, BUT LESS THAN 10,000 LBS",F,X,Active,"25 YEARS & $50,000",9125,9125,AND,50000,50000,TRUE,TRUE,MJ,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
285,44-53-0370(e)(1)(d),"DRUGS / TRAFFICKING IN MARIJUANA, 10,000 LBS OR MORE",F,X,Active,"25-30 YEARS & $200,000",10950,9125,AND,200000,200000,TRUE,TRUE,MJ,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
287,44-53-0370(e)(3)(b),"DRUGS / TRAFFICKING IN HEROIN, MORPH., ETC., 14 G OR MORE, BUT LESS THAN 28 G",F,X,Active,"25 YEARS & $200,000",9125,9125,AND,200000,200000,TRUE,TRUE,HEROIN,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
288,44-53-0370(e)(2)(d),"DRUGS / TRAFFICKING IN COCAINE, 200 G OR MORE, BUT LESS THAN 400 G",F,X,Active,"25 YEARS & $100,000",9125,9125,AND,100000,100000,TRUE,TRUE,COCAINE,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
290,44-53-0370(e)(4)(b),"DRUGS / TRAFFICKING IN METHAQUALONE, 150 G OR MORE, BUT LESS THAN 1,500 G",F,X,Active,"25 YEARS & $25,000",9125,9125,AND,25000,25000,TRUE,TRUE,METHAQUALONE,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
291,44-53-0370(e)(4)(c),"DRUGS / TRAFFICKING IN METHAQUALONE, POSSESSION OF 1,500 G, BUT LESS THAN 15 KG",F,X,Active,"25 YEARS & $50,000",9125,9125,AND,50000,50000,TRUE,TRUE,METHAQUALONE,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
292,44-53-0370(e)(4)(d),"DRUGS / TRAFFICKING IN METHAQUALONE, 15 KG OR MORE",F,X,Active,"25-30 YEARS & $200,000",10950,9125,AND,200000,200000,TRUE,TRUE,METHAQUALONE,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
293,44-53-0440,"DRUGS / DIST. I(B),(C),  LSD AND II NARCOTIC DRUGS AND CRACK COCAINE TO  PERSON UNDER 18 BY PERSON 18 OR OVER",F,C,Active,"NMT 20 YEARS &/OR NMT $30,000",7300,0,AND/OR,30000,0,FALSE,FALSE,"SCHED I(B&C), II, OR LSD",DRUGS-MDP,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
295,44-53-0380,"DRUGS / VIOLATION DRUG DISTRIBUTION LAW, PROHIBITED ACTS B, PENALTIES",F,F,Active,"NMT 5 YEARS OR NMT $10,000",1825,0,OR,10000,0,FALSE,FALSE,OTHER,DRUGS-MDP,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
296,44-53-0040(B),"DRUGS / OBTAINING PREP. OF DRUGS, OR CERTAIN DRUGS BY FRAUD, DECEIT, OR THE LIKE - 1ST OFFENSE",M,B,Active,NMT 2 YEARS &/OR NMT $500,730,0,AND/OR,500,0,FALSE,FALSE,OTHER,DRUG-OTHER,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
297,44-53-0040(B),"DRUGS / OBTAINING PREP. OF DRUGS, OR CERTAIN DRUGS BY FRAUD, DECEIT, OR THE LIKE - 2ND OR SUB. OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $2,000",1825,0,AND/OR,2000,0,FALSE,FALSE,OTHER,DRUG-OTHER,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
298,16-09-0330(a),SUBPOENA / FAILURE TO COMPLY WITH A SUBPOENA,M,U,Active,NMT 6 MONTHS &/OR $100 - $500,180,0,AND/OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
299,16-09-0330(b),SUBPOENA / REFUSAL TO TAKE OATH AND TESTIFY,M,U,Active,NMT 6 MONTHS &/OR $100 - $500,180,0,AND/OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
300,16-23-0420,WEAPONS / CARRYING OR DISPLAYING FIREARMS IN PUBLIC BUILDINGS OR ADJACENT AREAS,F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
302,44-56-0130,WASTE / HAZARDOUS WASTE MANAGEMENT ACT - 1ST OFFENSE,M,C,Active,"1 YEAR &/OR NMT $25,000 PER DAY OF VIOLATION",365,0,AND/OR,250000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
309,16-17-0570,"ALARM / INTERFERENCE WITH FIRE AND POLICE ALARM BOXES, GIVING FALSE ALARMS",M,U,Active,60 DAYS - 10 YEARS OR NMT $200,3650,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
310,16-09-0350,"COURTS / ATTEMPT TO INFLUENCE JUROR, WRITTEN OR ORAL COMMUNICATION",M,U,Active,NMT 6 MONTHS &/OR NMT $500,180,0,AND/OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
314,16-23-0220,WEAPONS / UNLAWFUL TRANSPORTATION OF MACHINE GUN OR SAWED-OFF SHOTGUN OR RIFLE,F,E,Active,"NMT 10 YEARS &/OR NMT $10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
315,16-23-0230,"WEAPONS / UNLAW. STORE, KEEP., POSS. MACHINE GUN OR SAWED-OFF SHOTGUN OR RIFLE",F,E,Active,"NMT 10 YEARS &/OR NMT $10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
316,16-23-0240,"WEAPONS / UNLAW. SELL., RENT., GIVE AWAY MACHINE GUN, SAWED-OFF SHOTGUN OR RIFLE",F,E,Active,"NMT 10 YEARS &/OR NMT $10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
317,16-07-0110,MASKS / WEARING MASKS AND THE LIKE,M,C,Active,NMT 1 YEAR OR NMT $500,365,0,OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
322,16-03-0070,"POISON / ADMINISTER OR ATTEMPT TO ADMINISTER POISON, OR DESTRUCTIVE THING, WITH INTENT TO KILL",F,C,Active,NMT 20 YEARS,7300,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
323,16-15-0090,SEX / PROSTITUTION - 2ND OFFENSE,M,U,Active,"NMT 6 MONTHS &/OR NMT $1,000",180,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
324,16-15-0100,"SEX / PROSTITUTION, FURTHER ACTS - 3RD OR SUB. OFFENSE",M,A,Active,"NMT 1 YEAR &/OR NMT $3,000",365,0,AND/OR,3000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
325,16-09-0360,COURTS / RECORDING PROCEEDINGS OF A GRAND JURY OR PETIT JURY,M,U,Active,NMT 6 MONTHS &/OR NMT $500,180,0,AND/OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
326,16-09-0320(A),RESISTING / RESISTING ARREST; OPPOSE OR RESIST LAW ENFORCEMENT OFFICER SERVING PROCESS OR MAKING ARREST,M,C,Active,"NMT 1 YEAR &/OR $500-1,000",365,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
329,44-55-0080,"WATER / STATE SAFE DRINKING WATER ACT , UNLAWFUL ACTS",M,C,Active,"NMT 1 YEAR &/OR NMT $10,000 A DAY PER VIOLATION",365,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
